Latitude,Longitude
12.50029,92.75004
8.0,93.5
18.67154,78.0988
18.43915,79.12856
18.04531,78.26078
17.27883,78.16844
16.74385,77.98597
17.05439,79.26707
18.0,79.58333
17.24767,80.14368
17.83333,79.08333
18.110744,83.386585
17.7094474,83.3080861
16.7131682,81.0953869
16.4974362,80.6660075
16.304176,80.4421857
15.4983325,80.0509113
14.2939818,79.7794384
17.83333,79.08333
15.8328365,78.0424751
17.83333,79.08333
13.2178483,79.0927682
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
26.47703,90.55815
26.2074223,91.6771799
26.43937,91.44041
26.37957,92.34146
27.48333,94.58333
26.0,93.5
25.5,93.0
27.0,84.5
26.51393,85.29341
26.59357,85.4906
26.35367,86.07169
26.11503,86.59527
26.14845,87.51404
26.3,88.0
25.77895,87.47422
25.53852,87.57044
25.9219518,86.7972588
25.8875611,86.5901104
26.15216,85.89707
26.12259,85.39055
26.46734,84.44041
26.22152,84.35879
25.69397,85.17131
25.75,85.41667
25.86077,85.78971
25.41853,86.13389
25.50877,86.4756484
25.24446,86.97183
24.88091,86.92257
25.384304,86.471266
25.1765,86.0947
25.13073,85.78176
25.25,85.58333
25.60222,85.11936
25.30886,84.44504
25.57473,83.97867
25.05077,83.58261
25.0,83.75
25.1982615,84.9862394
24.75389,84.37407
24.79686,85.00385
24.8867,85.54364
24.92589,86.22574
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
30.7108567,76.845983
20.7159534,70.9785005
28.5868667,77.0520928
28.5868667,77.0520928
28.5868667,77.0520928
22.0,79.0
30.69461,76.8504
30.36285,76.79516
30.12913,77.28049
29.968341,76.8673195
29.8019,76.39667
29.6817908,76.9462442
29.39005,76.96949
29.0046409,76.9999052
29.31617,76.31436
29.51525,75.45554
29.9566773,74.6980786
29.1699202,75.7185553
28.7312325,75.8923499
28.8995429,76.5844714
28.6063,76.6565
28.26935,76.15253
28.199,76.6183
28.451663,77.0297723
28.3521858,77.2786361
32.568204,76.1206493
32.2137428,76.3202351
32.5718948,77.0234459
22.0,79.0
31.7122499,76.92808
31.6914681,76.5190569
31.3499803,76.2142935
31.0872969,77.1375754
31.5391491,78.2678354
24.07494,83.71023
24.20376,84.87032
23.99507,85.36109
24.4349,85.52951
24.18561,86.30772
24.48983,86.69902
24.82379,87.21285
25.24237,87.64908
23.75,85.5
24.2661848,87.2531385
23.80199,86.44324
23.78732,85.95622
22.5471089,85.8075639
23.43313,84.67982
23.08055,84.53834
22.5471089,85.8075639
22.5,85.5
22.0,79.0
34.2038566,74.3650308
34.0701392,74.7798795
34.0701392,74.7798795
33.724922,75.1530779
22.0,79.0
22.0,79.0
33.1443798,75.5436511
32.9199077,75.1328668
33.772334,74.0981993
33.3878818,74.3158337
16.160282,75.6736388
16.8110597,75.8971473
17.3286605,76.8408983
18.0231525,77.2497187
16.0547194,76.9016009
15.5782573,76.3106391
15.416337,75.6807543
15.3725946,75.1372831
14.8113653,74.127777
15.2059731,76.7137979
14.3051049,76.5294876
14.3709084,75.8904783
14.0558284,75.1312534
13.3125984,75.7755206
13.4176169,76.881753
13.1794187,78.2680584
12.959018,77.6442396
12.6336348,76.7302318
13.029374,76.1742936
12.8600851,74.8378893
12.4187665,75.7422452
12.4187665,75.7422452
11.9536118,77.1084469
10.1162267,76.3450113
21.3386847,74.2344823
21.0188166,74.6919956
21.385681,75.1545
20.532784,76.186566
19.4797267,73.9268705
20.1224632,77.1311174
20.9376684,77.7781055
20.7377561,78.6031684
21.1525895,79.0143475
21.1227933,79.7943029
21.46015,80.19203
19.4147773,80.0036833
20.0967555,79.5045475
20.3908238,78.1324077
18.545425,77.5844353
19.7221395,77.1543619
19.2713708,76.7644813
19.83228,75.874466
19.8816065,75.3822879
19.9969676,73.7782466
19.1743189,72.9502373
18.57,73.13
18.6452489,73.9231856
19.108436,74.735394
18.713928,76.089605
18.3931679,76.5640255
18.18788,76.035779
17.6678767,75.9067272
17.6913198,74.0094374
16.98874,73.2989725
15.7627303,74.0724673
15.8677157,74.21818
17.1726928,74.5867654
24.9855683,93.5025164
24.3429852,93.6928709
24.6319847,93.7619193
24.6251993,94.0128847
24.6816,93.1544
25.0981451,94.3651788
24.23549,94.09318
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
23.909285,92.4947387
24.2314023,92.6766193
23.72894,92.71791
23.481,93.309599
23.3078982,92.8556728
22.89247,92.74218
22.7401468,93.0509285
22.4883875,92.9828605
25.6760912,76.7120469
26.4961372,77.9986659
26.5658766,78.7826782
26.2238,78.223669
25.6864213,78.4430898
25.3752412,77.8281193
24.646649,77.3079412
24.7706578,78.8346438
24.9072406,79.5844054
24.7172329,80.1873717
23.8227682,78.7552196
23.8332309,79.4406554
24.5684403,80.8321439
22.0,79.0
23.5255015,80.8343366
23.3080054,81.3528317
24.4132245,81.8807575
24.4794282,75.1429855
24.0697229,75.0727169
23.3273336,75.038335
23.1851154,75.7828438
23.4207601,76.27436
22.9620152,76.0482135
22.7730308,74.5913047
22.5944071,75.3080177
22.7088254,75.8308062
22.0,79.0
21.4123612,75.2390661
22.0,79.0
24.0070943,76.7291567
23.5203824,77.8089389
23.2301418,77.4179774
23.1981078,77.0812948
23.3331473,77.7801239
21.9034464,77.8983504
22.3406138,77.0934034
22.8731412,78.4507551
23.8323636,80.3920242
23.172221,79.9363558
22.9493661,79.1856337
22.9460091,81.0751743
22.5962197,80.3702688
22.0523466,78.9368293
22.094941,79.55174
21.8185785,80.1826545
26.7238973,95.0287876
26.25,94.75
26.3190363,94.5207286
26.0030617,94.5236166
26.0790994,94.2589926
25.904959,93.731523
25.6579778,94.0957497
25.7102194,94.4641123
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
