Latitude,Longitude
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
